ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
5727,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.54,0.6,0.44,0.74,0.52,No,No,No,Yes,No
5728,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.76,0.68,0.4,0.68,0.64,Yes,No,No,No,No
5729,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.72,0.38,0.64,0.84,Yes,Yes,No,No,Yes
5730,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.6,0.7,0.52,0.36,No,No,Yes,No,No
5731,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.66,0.62,0.62,0.78,0.52,No,No,No,Yes,No
5732,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.62,0.7,0.48,0.54,Yes,No,Yes,No,No
5733,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.72,0.56,0.84,0.62,Yes,Yes,No,Yes,No
5734,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.6,0.74,0.62,0.88,0.68,No,Yes,No,Yes,No
5735,22.78,-102.58, Zacatecas,103.5,59.25-145 $ MXN,0.76,0.7,0.52,0.72,0.54,Yes,Yes,No,Yes,No
5736,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.42,0.52,0.42,0.5,0.78,No,No,No,No,Yes
5737,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.48,0.74,0.86,0.66,Yes,No,Yes,Yes,No
5738,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.82,0.56,0.6,0.48,0.8,Yes,No,No,No,Yes
5739,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.58,0.58,0.48,0.58,0.76,No,No,No,No,Yes
5740,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.7,0.62,0.86,0.56,Yes,Yes,No,Yes,No
5741,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.42,0.42,0.32,0.56,0.9,No,No,No,No,Yes
5742,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.64,0.58,0.6,0.86,0.66,No,No,No,Yes,No
5743,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.6,0.7,0.86,0.66,Yes,No,Yes,Yes,No
5744,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.8,0.56,0.82,0.68,Yes,Yes,No,Yes,No
5745,19.53,-99.22, Estado de Mexico,143,63.5-249.5 $ MXN,0.8,0.7,0.52,0.8,0.88,Yes,Yes,No,Yes,Yes
5746,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.58,0.3,0.64,0.84,Yes,No,No,No,Yes
5747,20.61,-100.35, Queretaro,180,110-260 $ MXN,0.72,0.5,0.6,0.7,0.48,Yes,No,No,Yes,No
5748,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.7,0.84,0.84,0.88,Yes,Yes,Yes,Yes,Yes
5749,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.66,0.68,0.8,0.82,Yes,No,No,Yes,Yes
5750,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.66,0.52,0.6,0.7,Yes,No,No,No,Yes
5751,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.88,0.54,0.22,0.52,0.76,Yes,No,No,No,Yes
5752,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.54,0.54,0.4,0.62,0.7,No,No,No,No,Yes
5753,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.82,0.54,0.7,0.4,Yes,Yes,No,Yes,No
5754,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.46,0.36,0.7,0.76,Yes,No,No,Yes,Yes
5755,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.96,0.64,0.42,0.76,0.4,Yes,No,No,Yes,No
5756,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.6,0.48,0.8,0.78,Yes,No,No,Yes,Yes
5757,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.76,0.66,0.68,0.88,0.52,Yes,No,No,Yes,No
5758,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.82,0.72,0.74,0.78,0.6,Yes,Yes,Yes,Yes,No
5759,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.38,0.46,0.56,0.72,Yes,No,No,No,Yes
5760,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.48,0.24,0.86,0.76,No,No,No,Yes,Yes
5761,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.84,0.58,0.72,0.5,Yes,Yes,No,Yes,No
5762,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.5,0.42,0.62,0.58,Yes,No,No,No,No
5763,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.6,0.64,0.68,0.66,Yes,No,No,No,No
5764,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.78,0.46,0.88,0.48,Yes,Yes,No,Yes,No
5765,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.8,0.68,0.6,1,0.6,Yes,No,No,Yes,No
5766,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.66,0.76,0.44,0.74,0.44,No,Yes,No,Yes,No
5769,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.8,0.44,0.54,0.72,Yes,Yes,No,No,Yes
5770,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.6,0.52,0.34,0.64,Yes,No,No,No,No
5771,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.66,0.5,0.84,0.76,Yes,No,No,Yes,Yes
5772,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.7,0.54,0.42,0.7,0.76,Yes,No,No,Yes,Yes
5774,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.58,0.5,0.54,0.72,No,No,No,No,Yes
5775,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.72,0.72,0.84,0.58,Yes,Yes,Yes,Yes,No
5776,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.76,0.76,0.64,0.7,Yes,Yes,Yes,No,Yes
5777,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.78,0.68,0.68,0.64,Yes,Yes,No,No,No
5778,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.86,0.86,0.8,0.46,Yes,Yes,Yes,Yes,No
5779,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.72,0.64,0.7,0.54,Yes,Yes,No,Yes,No
