ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
1,19.3,-99.25, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.68,0.56,0.9,0.3,Yes,No,No,Yes,No
2,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.82,0.84,0.68,0.84,0.7,Yes,Yes,No,Yes,Yes
3,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.84,0.72,0.76,0.94,0.56,Yes,Yes,Yes,Yes,No
4,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.8,0.46,0.94,0.72,0.36,Yes,No,Yes,Yes,No
5,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.54,0.44,0.2,0.68,1,No,No,No,No,Yes
6,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.82,0.28,0.56,0.88,Yes,Yes,No,No,Yes
7,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.72,0.38,0.86,0.7,Yes,Yes,No,Yes,Yes
8,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.52,0.34,0.42,0.74,Yes,No,No,No,Yes
9,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,1,0.64,0.84,0.44,0.38,Yes,No,Yes,No,No
10,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.64,0.72,0.72,0.56,Yes,No,Yes,Yes,No
11,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.52,0.8,0.86,0.86,Yes,No,Yes,Yes,Yes
12,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.8,0.5,0.72,0.82,No,Yes,No,Yes,Yes
13,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.66,0.94,0.92,0.44,Yes,No,Yes,Yes,No
14,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.64,0.26,0.58,0.72,Yes,No,No,No,Yes
15,20.6,-100.38, Queretaro,180,110-260 $ MXN,0.92,0.76,0.86,0.98,0.58,Yes,Yes,Yes,Yes,No
16,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.46,0.64,0.6,0.84,Yes,No,No,No,Yes
17,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.32,0.64,0.32,0.88,0.8,No,No,No,Yes,Yes
18,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.76,0.5,0.4,0.38,Yes,Yes,No,No,No
19,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.94,0.64,0.76,0.96,0.58,Yes,No,Yes,Yes,No
20,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.94,0.44,0.62,0.66,0.7,Yes,No,No,No,Yes
21,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.58,0.78,0.56,0.78,0.58,No,Yes,No,Yes,No
22,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.92,0.32,0.48,0.74,0.42,Yes,No,No,Yes,No
23,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.8,0.56,0.56,0.74,0.78,Yes,No,No,Yes,Yes
24,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.74,0.22,0.68,0.86,Yes,Yes,No,No,Yes
25,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.5,0.38,0.62,0.42,Yes,No,No,No,No
26,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.56,0.56,0.8,0.52,Yes,No,No,Yes,No
28,20.62,-87.07, Quintana Roo,210,146-300 $ MXN,0.88,0.64,0.4,0.9,0.66,Yes,No,No,Yes,No
29,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.76,0.82,0.64,0.72,0.56,Yes,Yes,No,Yes,No
30,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.52,0.72,0.54,0.64,Yes,No,Yes,No,No
31,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.96,0.82,0.76,0.28,Yes,Yes,Yes,Yes,No
32,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.68,0.62,0.76,0.68,0.46,No,No,Yes,No,No
33,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.76,0.64,0.92,0.58,No,Yes,No,Yes,No
34,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.78,0.86,0.94,0.52,No,Yes,Yes,Yes,No
35,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.8,0.64,0.72,1,Yes,Yes,No,Yes,Yes
36,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.7,0.64,0.66,0.54,No,Yes,No,No,No
37,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.54,0.48,0.92,0.8,Yes,No,No,Yes,Yes
38,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.6,0.58,0.68,0.5,Yes,No,No,No,No
39,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.86,0.44,0.6,0.78,0.72,Yes,No,No,Yes,Yes
40,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.9,0.58,0.52,0.84,0.66,Yes,No,No,Yes,No
41,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.8,0.5,0.92,0.92,Yes,Yes,No,Yes,Yes
42,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.9,0.54,0.3,0.8,0.6,Yes,No,No,Yes,No
43,21.02,-86.93, Quintana Roo,210,146-300 $ MXN,0.88,0.84,0.24,0.68,0.36,Yes,Yes,No,No,No
44,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.4,0.38,0.6,0.46,Yes,No,No,No,No
45,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.72,0.54,0.62,0.8,No,Yes,No,No,Yes
46,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.5,0.44,0.76,0.36,Yes,No,No,Yes,No
47,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.82,0.76,0.94,0.94,0.52,Yes,Yes,Yes,Yes,No
48,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.56,0.72,0.72,0.74,Yes,No,Yes,Yes,Yes
49,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.42,0.64,0.64,0.86,0.62,No,No,No,Yes,No
50,19.7,-99.4, Estado de Mexico,143,63.5-249.5 $ MXN,0.82,0.54,0.22,0.58,0.8,Yes,No,No,No,Yes
51,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.58,0.8,0.88,0.38,Yes,No,Yes,Yes,No
52,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.88,0.7,0.76,0.78,0.52,Yes,Yes,Yes,Yes,No
53,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.96,0.62,0.6,0.88,0.3,Yes,No,No,Yes,No
55,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.86,0.8,0.66,0.74,0.76,Yes,Yes,No,Yes,Yes
56,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.6,0.7,0.66,0.82,0.6,No,Yes,No,Yes,No
58,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.92,0.74,0.54,0.72,0.74,Yes,Yes,No,Yes,Yes
59,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.56,0.72,0.26,0.56,0.74,No,Yes,No,No,Yes
60,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.58,0.78,0.88,0.96,0.76,No,Yes,Yes,Yes,Yes
61,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.88,0.76,0.64,0.62,0.66,Yes,Yes,No,No,No
62,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.74,0.54,0.74,0.92,0.62,Yes,No,Yes,Yes,No
64,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.72,0.86,0.9,0.72,0.52,Yes,Yes,Yes,Yes,No
65,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.56,0.84,0.96,0.56,Yes,No,Yes,Yes,No
66,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.72,0.62,0.7,0.72,Yes,Yes,No,Yes,Yes
67,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.7,0.7,0.72,0.6,No,Yes,Yes,Yes,No
68,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.78,0.58,0.48,0.74,0.66,Yes,No,No,Yes,No
69,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.68,0.66,0.78,0.6,No,No,No,Yes,No
70,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.56,0.6,0.7,0.52,No,No,No,Yes,No
71,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.62,0.58,0.84,0.62,No,No,No,Yes,No
72,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.88,0.56,0.72,0.7,0.9,Yes,No,Yes,Yes,Yes
73,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.76,0.94,0.86,0.86,0.82,Yes,Yes,Yes,Yes,Yes
74,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.68,0.72,0.6,0.56,0.78,No,Yes,No,No,Yes
75,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.72,0.72,0.7,0.78,0.58,Yes,Yes,Yes,Yes,No
76,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.72,0.44,0.54,0.88,0.76,Yes,No,No,Yes,Yes
77,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.66,0.9,0.92,0.9,Yes,No,Yes,Yes,Yes
78,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.82,0.58,0.88,0.58,0.66,Yes,No,Yes,No,No
79,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.9,0.84,0.86,0.92,0.2,Yes,Yes,Yes,Yes,No
80,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,1,0.54,0.9,0.64,0.76,Yes,No,Yes,No,Yes
81,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.76,0.9,0.86,0.52,Yes,Yes,Yes,Yes,No
82,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.94,0.58,0.84,0.78,Yes,Yes,No,Yes,Yes
83,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.74,0.72,0.8,0.82,0.86,Yes,Yes,Yes,Yes,Yes
84,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.7,0.68,0.7,0.62,0.68,Yes,No,Yes,No,No
85,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.72,0.64,0.62,0.92,0.64,Yes,No,No,Yes,No
86,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.76,0.56,0.92,1,0.52,Yes,No,Yes,Yes,No
87,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.74,0.62,0.86,0.86,0.66,Yes,No,Yes,Yes,No
88,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.56,0.56,0.7,0.74,0.56,No,No,Yes,Yes,No
89,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.78,0.72,0.96,0.76,No,Yes,Yes,Yes,Yes
90,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.94,0.6,0.72,0.78,0.82,Yes,No,Yes,Yes,Yes
91,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.44,0.64,0.44,0.92,0.92,No,No,No,Yes,Yes
92,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.66,0.58,0.58,0.78,0.66,No,No,No,Yes,No
93,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,1,0.88,0.78,0.84,0.88,Yes,Yes,Yes,Yes,Yes
94,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.7,0.52,0.72,0.54,Yes,Yes,No,Yes,No
95,19.53,-99.22, Estado de Mexico,143,63.5-249.5 $ MXN,0.78,0.64,0.74,0.8,0.46,Yes,No,Yes,Yes,No
96,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.78,0.36,0.44,0.86,0.42,Yes,No,No,Yes,No
97,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.72,0.68,0.78,0.8,0.74,Yes,No,Yes,Yes,Yes
98,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.74,0.7,0.6,0.56,0.58,Yes,Yes,No,No,No
99,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.48,0.76,0.72,0.56,Yes,No,Yes,Yes,No
100,19.12,-99.59, Estado de Mexico,143,63.5-249.5 $ MXN,0.74,0.9,0.64,0.98,0.68,Yes,Yes,No,Yes,No
101,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.78,0.36,0.62,0.5,No,Yes,No,No,No
102,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.54,0.82,0.72,0.44,No,No,Yes,Yes,No
103,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.68,0.86,0.96,0.52,No,No,Yes,Yes,No
104,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.74,0.54,0.78,0.42,Yes,Yes,No,Yes,No
105,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.66,0.72,0.62,0.7,No,No,Yes,No,Yes
106,16.85,-99.92, Guerrero,247,184-300 $ MXN,0.68,0.5,0.4,0.78,0.94,No,No,No,Yes,Yes
107,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.56,0.72,0.52,0.4,Yes,No,Yes,No,No
108,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.66,0.88,0.82,0.54,Yes,No,Yes,Yes,No
109,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.68,0.88,0.84,0.5,Yes,No,Yes,Yes,No
110,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.52,0.68,0.7,0.68,Yes,No,No,Yes,No
111,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.66,0.68,0.72,0.54,Yes,No,No,Yes,No
112,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.46,0.5,0.82,0.78,Yes,No,No,Yes,Yes
113,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.72,0.78,0.6,0.86,0.48,Yes,Yes,No,Yes,No
114,19.2,-96.13, Veracruz,220,139-285 $ MXN,0.96,0.72,0.48,0.6,0.68,Yes,Yes,No,No,No
115,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.76,0.76,0.8,0.58,Yes,Yes,Yes,Yes,No
116,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.7,0.56,0.58,0.62,Yes,Yes,No,No,No
118,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.6,0.62,0.62,0.66,Yes,No,No,No,No
119,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.4,0.52,0.72,0.72,Yes,No,No,Yes,Yes
120,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.5,0.3,0.84,0.72,Yes,No,No,Yes,Yes
121,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.66,0.36,0.78,0.58,No,No,No,Yes,No
122,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.46,0.32,0.64,0.82,No,No,No,No,Yes
123,19.27,-99.49, Estado de Mexico,143,63.5-249.5 $ MXN,0.82,0.68,0.46,0.58,0.8,Yes,No,No,No,Yes
124,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.76,0.62,0.44,0.48,Yes,Yes,No,No,No
125,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.74,0.68,0.4,0.72,0.6,Yes,No,No,Yes,No
126,19.42,-102.07, Michoacan,90,55-150 $ MXN,0.64,0.64,0.5,0.7,0.7,No,No,No,Yes,Yes
127,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.58,0.54,0.88,0.54,Yes,No,No,Yes,No
128,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.68,0.54,0.7,0.4,Yes,No,No,Yes,No
129,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.62,0.24,0.7,0.68,Yes,No,No,Yes,No
130,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.44,0.82,0.78,0.88,Yes,No,Yes,Yes,Yes
131,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.64,0.4,0.98,0.7,Yes,No,No,Yes,Yes
132,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.86,0.6,0.78,0.32,Yes,Yes,No,Yes,No
133,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.52,0.56,0.54,0.42,Yes,No,No,No,No
135,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.66,0.36,0.54,0.54,Yes,No,No,No,No
136,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.36,0.3,0.5,0.74,Yes,No,No,No,Yes
137,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.88,0.56,0.76,0.32,Yes,Yes,No,Yes,No
138,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.58,0.58,0.4,0.92,Yes,No,No,No,Yes
139,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.56,0.34,0.76,0.82,Yes,No,No,Yes,Yes
141,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.76,0.68,0.66,0.26,Yes,Yes,No,No,No
142,19.67,-99.13, Estado de Mexico,143,63.5-249.5 $ MXN,0.96,0.54,0.68,0.78,0.58,Yes,No,No,Yes,No
143,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.62,0.52,0.66,0.2,Yes,No,No,No,No
144,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.68,0.44,0.76,0.52,Yes,No,No,Yes,No
145,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.74,0.66,0.74,0.5,Yes,Yes,No,Yes,No
147,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.76,0.62,0.68,0.48,Yes,Yes,No,No,No
148,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.64,0.46,0.68,0.84,Yes,No,No,No,Yes
149,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.58,0.58,0.84,0.56,Yes,No,No,Yes,No
150,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.52,0.56,0.74,0.42,Yes,No,No,Yes,No
151,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.82,0.52,0.82,0.54,Yes,Yes,No,Yes,No
152,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.7,0.74,0.52,0.8,0.66,Yes,Yes,No,Yes,No
153,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.72,0.88,0.88,0.66,Yes,Yes,Yes,Yes,No
154,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.86,0.8,0.96,0.84,Yes,Yes,Yes,Yes,Yes
155,19.68,-100.57, Michoacan,90,55-150 $ MXN,0.94,0.66,0.52,0.74,0.48,Yes,No,No,Yes,No
156,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.54,0.88,0.68,0.56,Yes,No,Yes,No,No
157,32.46,-114.78, Sonora,240,147-488.75 $ MXN,0.94,0.68,0.58,0.38,0.6,Yes,No,No,No,No
158,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.96,0.92,0.72,0.96,Yes,Yes,Yes,Yes,Yes
159,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.74,0.74,0.7,0.44,Yes,Yes,Yes,Yes,No
160,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.84,0.5,0.9,0.56,Yes,Yes,No,Yes,No
161,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.82,0.58,0.78,0.7,Yes,Yes,No,Yes,Yes
162,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.64,0.54,0.7,0.96,Yes,No,No,Yes,Yes
163,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.78,0.74,0.8,0.5,Yes,Yes,Yes,Yes,No
164,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.94,0.32,0.68,0.92,Yes,Yes,No,No,Yes
165,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.78,0.9,0.92,0.42,No,Yes,Yes,Yes,No
166,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.84,0.56,0.74,0.64,Yes,Yes,No,Yes,No
167,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.68,0.28,0.64,0.54,Yes,No,No,No,No
168,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.74,0.34,0.86,0.68,No,Yes,No,Yes,No
169,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.54,0.6,0.78,0.58,Yes,No,No,Yes,No
170,25.42,-101, Coahuila,220,127.5-325 $ MXN,0.78,0.54,0.68,0.62,0.46,Yes,No,No,No,No
171,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.54,0.34,0.48,0.48,Yes,No,No,No,No
172,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.74,0.82,0.9,0.68,Yes,Yes,Yes,Yes,No
173,19.6,-99.05, Estado de Mexico,143,63.5-249.5 $ MXN,0.98,0.76,0.98,1,0.7,Yes,Yes,Yes,Yes,Yes
174,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.84,0.56,0.6,0.8,0.38,Yes,No,No,Yes,No
175,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.74,0.74,0.7,0.44,Yes,Yes,Yes,Yes,No
176,27.48,-109.93, Sonora,240,147-488.75 $ MXN,0.76,0.8,0.56,0.6,0.62,Yes,Yes,No,No,No
177,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.96,0.66,0.54,0.92,0.52,Yes,No,No,Yes,No
178,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.5,0.5,0.72,0.46,Yes,No,No,Yes,No
179,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.46,0.48,0.36,0.52,0.74,No,No,No,No,Yes
180,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.64,0.44,0.62,0.66,Yes,No,No,No,No
181,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.78,0.64,0.52,0.66,0.66,Yes,No,No,No,No
182,20.32,-100.55, Guanajuato,175,126.25-250 $ MXN,0.7,0.66,0.62,0.78,0.72,Yes,No,No,Yes,Yes
184,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.58,0.46,0.8,0.56,Yes,No,No,Yes,No
185,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.76,0.64,0.46,0.88,0.84,Yes,No,No,Yes,Yes
186,19.2,-96.13, Veracruz,220,139-285 $ MXN,0.86,0.46,0.58,0.92,0.36,Yes,No,No,Yes,No
187,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.92,0.52,0.74,0.38,Yes,Yes,No,Yes,No
188,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.94,0.48,0.64,0.76,0.54,Yes,No,No,Yes,No
189,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.78,0.62,0.34,0.66,0.52,Yes,No,No,No,No
191,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.84,0.76,0.28,0.4,0.86,Yes,Yes,No,No,Yes
192,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.76,0.58,0.3,0.9,0.7,Yes,No,No,Yes,Yes
193,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.62,0.5,0.8,0.92,Yes,No,No,Yes,Yes
194,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.48,0.56,0.88,0.8,Yes,No,No,Yes,Yes
195,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.64,0.78,0.56,0.58,Yes,No,Yes,No,No
196,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.7,0.54,0.54,0.58,Yes,Yes,No,No,No
197,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.66,0.64,0.58,0.98,Yes,No,No,No,Yes
198,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.48,0.56,0.68,0.92,Yes,No,No,No,Yes
199,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.72,0.92,0.58,0.76,0.48,Yes,Yes,No,Yes,No
200,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.94,0.58,0.82,0.68,Yes,Yes,No,Yes,No
201,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.6,0.4,0.76,0.56,No,No,No,Yes,No
202,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.82,0.8,0.68,0.7,0.42,Yes,Yes,No,Yes,No
203,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.56,0.78,0.76,0.78,Yes,No,Yes,Yes,Yes
204,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.64,0.3,0.68,0.68,Yes,No,No,No,No
205,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.62,0.66,0.66,0.44,Yes,No,No,No,No
206,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.6,0.8,0.66,0.7,Yes,No,Yes,No,Yes
207,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.68,0.5,0.6,0.62,Yes,No,No,No,No
208,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.86,0.58,0.62,0.64,Yes,Yes,No,No,No
209,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.78,0.78,0.98,0.38,Yes,Yes,Yes,Yes,No
